HINDI,ENGLISH
में,In
है,Is
हैं,Are
नहीं,No
लिए,For
गया,Went
तथा,And
अपने,Our
कुछ,Some
साथ,Together
होता,Would
था,Was
दिया,Gave
हुए,Has
कोई,Any
रूप,Form
से,From
मैं,I
रहा,Stayed
हुआ,Happened
बात,Talk
कहा,Said
समय,Time
क्या,What
अपनी,Own
होती,Happiness
प्रकार,Type
बहुत,Very
तरह,Kind
बाद,Afterwards
फिर,Then
रहे,are
द्वारा,By
अधिक,More
रही,doing
होने,Having
एवं,And
हुई,Hui
थे,Were
उनके,Their
थी,Was
वाले,Wale
चाहिए,Needed
दिन,Day
लेकिन,But
काम,Work
हूँ,am
इसके,Its
उन्हें,Them
गये,Gone
कभी,Sometimes
आदि,Etcetera
लोग,People
बार,Times
यहाँ,Here
दोनों,Both
उन्होंने,They
कार्य,Work
पास,Near
वहाँ,There
भारत,India
लिया,took
प्राप्त,Received
उनकी,His
लोगों,People
गयी,Gone
लगा,Put
अन्य,Other
होगा,Will happen
इसी,This 
देश,Country
यदि,If
सभी,All
नाम,Name
वर्ष,Year
ऐसा,As such
विकास,Development
अपना,My 
ऐसे,This way
दूसरे,Others
हाथ,Hand
भाषा,Language
मेरे,My
मैंने,I
तुम,You
बीच,Middle
वाली,Wali
बड़े,elder
प्रति,Per
व्यक्ति,Person
उनका,their
लिये,For
इसलिए,Therefore
तीन,Three
इसका,Its
ऐसी,Such
विशेष,Specific
बड़ी,Big
अथवा,Or
भाग,Part
क्योंकि,Because
सिंह,Lion
ठीक,Correct
परन्तु,But
स्थान,Location
यही,This only
क्यों,Why
गाँव,Village
राज्य,State
अलग,Separate
लेकर,With
अभी,Now
इसमें,In this
विभिन्न,Diverse
सी,C
जिस,That
बाहर,Outside
ऊपर,Above
बना,Made up
तैयार,Ready
अनेक,several
सामने,Front
शिक्षा,Education
शरीर,Body
होकर,In
दृष्टि,Vision
श्री,Mister
थीं,Was
दूर,Distant
शब्द,Word
ध्यान,Attention
चार,Four
मेरी,My
बड़ा,Big
पता,Address
लगता,Festive
आगे,Ahead
किया,Did
उत्तर,Answer
किन्तु,But
आने,Arrival
लगे,Logged
लगभग,About
इसे,This
लाख,Lakh
बारे,About
होना,Happen
इससे,From this
मात्रा,Quantity
अध्ययन,Study
वाला,Wave
जिसमें,In which
नीचे,Below
अर्थ,Meaning
लोक,Folk
आवश्यक,Necessary
हो,Are
माँ,Mother
छोटे,Small
प्रतिशत,Percent
शुरू,Start
अगर,If
इतना,This much
आया,Came
होगी,Will be
मिल,Mill
स्वयं,Self
रात,Night
बिना,Without
हमें,Us
उपयोग,Use
महत्वपूर्ण,Important
मुख्य,Important
साल,Year
ज्यादा,More
साहित्य,Literature
पूर्व,East
निर्माण,Construction
विषय,Subject
जिससे,By which
देख,See
चित्र,Picture
प्रत्येक,Everyone
मनुष्य,Human
गई,Went
स्पष्ट,Obvious
दिनों,Days
रंग,Colour
इसकी,his
स्तर,level
मेरा,My
दूसरी,Second
अच्छा,Good
रोग,Disease
काल,Era
अच्छी,Good
विज्ञान,Science
भाई,Brother
ज्ञान,Knowledge
दिल्ली,Delhi
बनाने,Make
रुपये,Rupees
रखा,kept
आवश्यकता,Need
आता,Comes
कौन,Who
हों,Ho
आर्थिक,Economic
सहायता,Help
अतिरिक्त,Excessive
देर,Late
तरफ,Side
लेने,Take
चला,walked
सामाजिक,Social
समझ,Understanding
मगर,But
आते,Come
बच्चे,Children
कला,Art
पत्र,Letter
भीतर,Inner
संस्कृति,Culture
उनमें,In those
वर्ग,Social class
विभाग,Department
चाहता,Want
सिर,Head
बताया,told
जगह,Place
वही,Same
इतनी,So much
स्थापित,Established
राष्ट्रीय,National
स्वर,Vocal
क्षेत्रों,Areas
जिसके,Whose
जन्म,Birth
जाए,Go
दौरान,during
गांधी,Gandhi
हाँ,Yes
जनता,public
किस,What
केन्द्र,Center
साहब,Sir
पूर्ण,Complete
पुलिस,Police
बोला,spoke
थईआ,Thiaia
